entities.short_name,entities.name,countries.name,European_Political_Group
50Plus,50Plus,Netherlands,uncertain
SP,Socialistische Partij,Netherlands,GUE/NGL
D66,Democraten 66,Netherlands,RE
BiJ,BiJ1,Netherlands,uncertain
V,Volt,Netherlands,RE
BVNL,Belang Van Nederland,Netherlands,uncertain
JA21,Juiste Antwoord 2021,Netherlands,ECR
BBB,BoerBurgerBeweging,Netherlands,uncertain
LEW,Nowa Lewica,Poland,S&D
KO,Koalicja Obywatelska,Poland,EPP
ZP,Prawo i Sprawiedliwość (ZP),Poland,ECR
INNY,Inni reklamodawcy polityczni,Poland,uncertain
TD,Trzecia Droga,Poland,uncertain
BS,Bezpartyjni Samorządowcy,Poland,uncertain
KWIN,Konfederacja,Poland,ID
InnyKW,Inne komitety wyborcze,Poland,uncertain
MN,Regionalna. Mniejszość z Większością,Poland,uncertain
L,LIVRE,Portugal,uncertain
CDSPP,CDS – Partido Popular,Portugal,EPP
CH,CHEGA,Portugal,ID
PSD,Partido Social Democrata,Portugal,S&D
PAN,Pessoas-Animais-Natureza,Portugal,Greens/EFA
PCP,Partido Comunista Português,Portugal,GUE/NGL
B.E.,Bloco de Esquerda,Portugal,GUE/NGL
PS,Partido Socialista,Portugal,RE
IL,Iniciativa Liberal,Portugal,RE
Out,Outros,Portugal,uncertain
USR,Uniunea Salvați România,Romania,RE
ALDE,ALDE,Romania,RE
PNL,Partidul Național Liberal,Romania,EPP
PSD,Partidul Social Democrat,Romania,S&D
PMP,PMP,Romania,EPP
UDMR,Uniunea Democrată Maghiară din România,Romania,EPP
FD,Forța Dreptei,Romania,uncertain
REPER,Reînnoim Proiectul European al României,Romania,RE
AUR,Alianța pentru Unirea Românilor,Romania,ID
PRO,ProRomania,Romania,uncertain
SOS,S.O.S. România,Romania,uncertain
SMER,SMER-SSD,Slovakia,S&D
OLaNO,OL'aNO,Slovakia,uncertain
LSNS,ĽSNS,Slovakia,ID
Ost,Ostatné strany,Slovakia,uncertain
Vlá,Vláda,Slovakia,uncertain
HLAS,HLAS,Slovakia,S&D
SASKA,Sloboda a Solidarita,Slovakia,RE
SR,Sme Rodina,Slovakia,uncertain
A-S,Aliancia-Szövetség,Slovakia,uncertain
PS,Progresívne Slovensko,Slovakia,RE
KDH,Kresťanskodemokratické hnutie,Slovakia,EPP
D,Demokrati,Slovakia,uncertain
